Species,Body_Temp_C,Body_mass_g,Basal_Met_Rate_W,Air_temp_C
Suncus etruscus,38.7,2.4,0.080,15.2
Sorex cinereus,38.4,3.5,0.176,-0.2
Myotis nigricans,,3.7,0.027,22.6
Notiosorex crawfordi,37.6,4,0.074,15.7
Sorex minutus,38.5,4,0.172,1.6
Pteronotus quadridens,31.0,4.9,0.034,14.2
Myotis yumanensis,,5,0.047,10.7
Peropteryx macrotis,34.4,5,0.065,23.2
Myotis lucifugus,37.2,5.2,0.050,4.1
Sorex vagrans,38.0,5.2,0.157,6.2
Natalus tumidirostris,32.2,5.4,0.046,22.7
Cryptotis parva,37.0,6.2,0.107,15.2
Crocidura suaveolens,35.1,6.5,0.105,7.3
Geogale aurita,34.9,6.9,0.043,19.3
Planigale ingrami,,7.1,0.063,22.7
Planigale tenuirostris,34.5,7.1,0.063,19.9
Baiomys taylori,36.0,7.15,0.095,17.9
Micromys minutus,38.0,7.37,0.118,4.3
Saccopteryx bilineata,35.5,7.8,0.081,23.0
Sorex alpinus,38.6,7.9,0.269,5.9
Nyctophilus geoffroyi,31.6,8,0.062,19.8
Sorex araneus,,8.05,0.336,1.0
Mus minutoides,36.3,8.06,0.134,17.7
Rhinonicteris aurantia,36.1,8.27,0.090,23.2
Perognathus flavus,34.6,8.3,0.097,13.7
Hipposideros galeritus,31.9,8.5,0.050,23.0
Mormoops blainvillei,32.0,8.6,0.045,14.1
Monophyllus redmani,34.0,8.7,0.062,13.6
Vampyressa pusilla,,8.8,0.104,21.8
Perognathus longimembris,34.7,8.9,0.053,11.2
Reithrodontomys megalotis,36.8,9,0.130,11.1
Planigale gilesi,35.1,9.1,0.039,19.9
Sorex coronatus,37.6,9.1,0.290,8.5
Pteronotus davyi,38.8,9.4,0.085,19.4
Rhinophylla fischerae,,9.5,0.091,24.1
Rhinophylla pumilio,34.7,9.5,0.104,23.9
Glossophaga soricina,35.5,9.6,0.164,22.1
Sorex ornatus,,9.7,0.292,11.1
Crocidura hildegardeae,35.7,10,0.145,22.4
Tarsipes rostratus,36.6,10,0.162,13.6
Sicista betulina,37.0,10,0.179,-0.6
Crocidura crossei,34.3,10.2,0.125,22.6
Blarina carolinensis,36.8,10.2,0.188,16.5
Plecotus auritus,35.5,10.25,0.082,4.4
Eptesicus fuscus,36.0,10.4,0.116,10.8
Crocidura russula,34.7,10.4,0.128,9.1
Miniopterus schreibersii,37.7,10.91,0.145,18.5
Microdipodops megacephalus,32.8,11,0.168,7.2
Histiotus velatus,30.5,11.2,0.088,21.0
Anoura caudifera,36.5,11.5,0.238,22.4
Ningaui yvonnae,34.4,11.6,0.088,17.7
Macrotus californicus,35.0,11.7,0.082,15.4
Crocidura leucodon,,11.7,0.166,7.6
Crocidura luna,34.8,11.8,0.138,20.8
Neurotrichus gibbsii,38.4,11.8,0.259,6.7
Myotis velifer,,11.89,0.040,18.0
Peromyscus polionotus,37.2,12,0.120,17.2
Scotinomys teguina,37.6,12,0.174,21.5
Pseudomys hermannsburgensis,37.8,12.2,0.130,21.3
Microgale cowani,33.0,12.2,0.179,18.9
Megaloglossus woermanni,,12.4,0.121,23.2
Gerbillus pusillus,34.6,12.6,0.075,23.1
Cercartetus lepidus,33.7,12.6,0.105,10.5
Gracilinanus microtarsus,35.0,13,0.106,16.8
Planigale maculata,34.5,13.1,0.074,20.4
Neomys anomalus,,13.1,0.373,8.2
Mus musculus,36.7,13.2,0.365,
Nyctimene major,33.0,13.6,0.114,6.9
Nyctinomops laticaudatus,,14,0.062,22.4
Acrobates pygmaeus,34.7,14,0.084,17.2
Pteronotus personatus,37.5,14,0.128,22.1
Crocidura viaria,34.5,14.7,0.123,25.4
Carollia perspicillata,36.4,14.9,0.240,22.7
