Species,Length of longest fluff hair mm,Thickness of the fur layer (mm),Lenght of the guard hair mm
Bear,19.97,7.6,53.4
read fox,29.97,6.2,35.73
gray fox,14.9,2.15,27.4
Coyote,40,2.9,76.72
Rabbit,22.35,2.15,1.15
Skunk,23.47,2.2,48.25
Racoon,26.7,5,74.5
Bobcat,35.73,4.9,52.4
beaver,25.75,2.7,58
muskrat,12.9,2.55,45.78
Fisher,27.25,1.55,37.7
otter,14.6,2.3,7
mink,5.3,1.9,12.9
short tailed weasel,21,2.5,21.5
long tailed weasel,,,
Bear,70,51,67.8
read fox,29,2.1,35.5
gray fox,21,3.6,52
Coyote,86.2,2.8,44.15
Rabbit,19.3,0.9,30.1
Skunk,2.5,0.5,3.5
Racoon,29.1,50.9,59.8
Bobcat,15,54,74
beaver,1.75,2,40
muskrat,9,,
Fisher,,,
otter,5.58,3.48,16.85
mink,15.45,1.1,32.6
short tailed weasel,2.5,2.5,11.1
long tailed weasel,18.3,1.2,40.01
Bear,10,11.4,60
read fox,25,5,37
gray fox,20,4,54
Coyote,40,3,45
Rabbit,23,1.8,30
Skunk,10,3.6,32
Racoon,25,4,60
Bobcat,15,5,73
beaver,24,3,41
muskrat,9,3,15
Fisher,11.4,5.6,31.4
otter,5.7,4.45,5.7
mink,16,1,33
short tailed weasel,3,3,10
long tailed weasel,19,3,40
Bear,7.2,5,17.81
red fox,25.8,5.6,46
gray fox,19,34.6,50.31
Coyote,40.05,6.31,81.24
Rabbit,20.31,2.24,25.5
Skunk,10.4,6.8,31.38
Racoon,21.22,4.52,45.65
Bobcat,13.2,6.75,40.21
beaver,18.65,3.6,54.12
muskrat,9.06,2.36,20.06
Fisher,11.35,4.7,43.29
otter,8.84,2.33,11.41
mink,5.3,1.32,7.5
short tailed weasel,9.5,1.14,11.3
long tailed weasel,10.02,2.29,28.7
Bear,34,6.4,49
read fox,26,5.4,46
gray fox,13,1.7,33
Coyote,42,6,81
Rabbit,14,2.2,31
Skunk,25,4.9,33
Racoon,1.6,3.4,5.2
Bobcat,,6.85,42
beaver,18,3.6,54
muskrat,11,13,27
Fisher,21,2.4,33
otter,5,3.3,17
mink,,,
short tailed weasel,5,0.3,7
long tailed weasel,,,
Bear,70,20.4,27
red fox,28,5.7,43
gray fox,25,1.1,47
Coyote,45,9,83
Rabbit,12,2.1,30
Skunk,10.1,6.9,31.4
Racoon,1.8,3.7,5.5
Bobcat,23.1,8.4,45
beaver,18,3.4,57
muskrat,10,10.9,24.3
Fisher,20,3.1,30
otter,6.2,3.7,2.5
mink,9,2.5,3.7
short tailed weasel,3,0.2,7.8
long tailed weasel,20,0.9,34
