Group members,UMB #,Genus,Species,common name,Femur length (cm),Femur circumference cm,Femur diamter middle (cm),Femur mass (g),Femur volume (ml),Femur cross section area (cm2),Tibia length (cm),Tibia diameter middle cm,Tibia circumference (cm),Tibia mass (g),Tibia volume (ml),Tibia cross section area (cm2),
Rachel,M-40/41,Bos,taurus,domestic cow,36,12.5,3.4,892,110,5.34,35,5,14.4,733,110,7.9,
Jo-Hanna,249,Odocoileus,virginianus,white-tailed deer,27.5,8.2,2.1,265,80,3.3,33,2.6,8.3,216,10,4.1,
Chris,umb 363,Procyon,lotor,raccon,13,4.5,1.1,21,10,1.73,13,1,3.5,15.5,7,1.57,
Ismeyly,M-24,Vulpes,vulpes,red fox,13.4,3.5,0.5,11.5,15,0.79,15,0.9,4.1,13,15,1.41,
,umb 10,Mustela,vison,mink,5.3,2.6,0.5,1.5,1,0.79,5.6,0. 4,2.2,1.5,1,0.63,
,Umb 300,Procavia,capensis,Rock hyrax,6,1,0.7,2.5,1,1.1,5.7,0.4,1,1.5,4,0.63,
,407,Canus,familiaris,domestic dog,15,4.5,0.8,20,25,1.26,14.5,1,4.7,19.5,30,1.57,
,405,Sylvilagus,sp.,rabbit,11,3.5,0.8,7.5,5,1.26,12,0.7,3,7,5,1.1,
,umb 115,Felis,catus,cat,9.7,3,0.9,5,5,1.41,10.5,0.8,2.5,5,7,1.26,
,umb 96.,Equus,caballas,horse,40,16,4.1,891.5,120,6.44,34,3.5,10.6,538,100,5.5,
,126,Ovis,aries,sheep,21.5,7.8,2.2,125.5,100,3.5,20.5,2,6.5,113.5,90,3.14,
,umb 70,,,squirrel,5.5,2,0.4,1.5,1,0.63,6,0.4,1.5,1,1,0.63,
Anika,M-40/41,Bos,taurus,domestic cow,37,4,892,900,12.6,123,35.5,4.29,13.5,732.5,850,14.34,
Mia,249,Odocoileus,virginianus,white-tailed deer,28.2,2.35,265,250,1.38,7.4,32.3,2.51,7.9,218.5,300,4.92,
Juan,umb 363,Procyon,lotor,raccon,13.2,2.4,21.5,15,1.34,4.1,13.2,0.95,3,5,5,0.72,
Sophan,M-24,Vulpes,vulpes,red fox,13.7,1.05,12,10,0.86,3.3,15.1,1.24,3.9,13.4,2,1.21,
Grandy,umb 10,Mustela,vison,mink,5.1,0.76,1.6,2,0.45,2.4,5.9,0.39,1.75,1.24,2,0.12,
,Umb 300,Procavia,capensis,Rock hyrax,6.1,0.76,2.6,1.5,0.45,2.4,6.1,0.61,1.9,1.6,1.5,0.027,
,407,Canus,familiaris,domestic dog,15,1.1,20.5,50,3.9,3.5,15.6,1.3,4,20,10,5.1,
,405,Sylvilagus,sp.,rabbit,10.6,0.98,7.8,2,0.75,3.1,16.1,0.78,2.5,7,5,0.5,
,umb 115,Felis,catus,cat,10.5,0.85,5,3.3,0.56,2.7,10.5,0.73,2.3,5,7,0.41,
,umb 96.,Equus,caballas,horse,39.5,4.78,892.5,1100,17.39,14.9,34.5,3.7,11.5,538,600,10.8,
,126,Ovis,aries,sheep,20.6,2.32,128.5,250,4.2,7.3,23.4,2.03,6.4,116.3,95,1.03,
